crop,state,district,year,season,area,production,yield
Barley,Uttar Pradesh,MORADABAD, 2017-18,Rabi       ,5.0,14.0,2.8
Barley,Uttar Pradesh,MORADABAD, 2018-19,Rabi       ,7.0,21.0,3.0
Barley,Uttar Pradesh,MUZAFFARNAGAR, 1998-99,Rabi       ,695.0,1658.0,2.39
Barley,Uttar Pradesh,PILIBHIT, 1998-99,Rabi       ,61.0,145.0,2.38
Barley,Uttar Pradesh,PAURI GARHWAL, 1999-00,Rabi       ,6450.0,7690.0,1.19
Barley,Uttar Pradesh,PAURI GARHWAL, 1998-99,Rabi       ,7950.0,6238.0,0.78
Barley,Uttar Pradesh,NAINITAL, 1999-00,Rabi       ,900.0,1054.0,1.17
Barley,Uttar Pradesh,NAINITAL, 1998-99,Rabi       ,1034.0,1339.0,1.29
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2018-19,Rabi       ,86.0,264.0,3.07
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2017-18,Rabi       ,128.0,364.0,2.84
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2016-17,Rabi       ,161.0,450.0,2.8
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2015-16,Rabi       ,258.0,562.0,2.18
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2014-15,Rabi       ,144.0,247.0,1.72
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2013-14,Rabi       ,172.0,494.0,2.87
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2012-13,Rabi       ,141.0,376.0,2.67
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2011-12,Rabi       ,357.0,970.0,2.72
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2010-11,Rabi       ,314.0,824.0,2.62
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2009-10,Rabi       ,385.0,883.0,2.29
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2008-09,Rabi       ,375.0,872.0,2.33
Barley,Uttar Pradesh,MUZAFFARNAGAR, 2007-08,Rabi       ,415.0,918.0,2.21
