crop,state,Cost of Cultivation (Rs./Hectare) A1,Cost of Cultivation (Rs./Hectare) A2,Cost of Cultivation (Rs./Hectare) B1,Cost of Cultivation (Rs./Hectare) B2,Cost of Cultivation (Rs./Hectare) C1,Cost of Cultivation (Rs./Hectare) C2,Cost of Cultivation (Rs./Hectare) C2 Revised,Cost of Production (Rs./Qtl) A1,Cost of Production (Rs./Qtl) A2,Cost of Production (Rs./Qtl) B1,Cost of Production (Rs./Qtl) B2,Cost of Production (Rs./Qtl) C1,Cost of Production (Rs./Qtl) C2,Cost of Production (Rs./Qtl) C2 Revised,Cost of Production (Rs./Qtl) C3,Value of Main Product (Rs./Hectare),Value of By- Product (Rs./Hectare),Seed (Kg.) per Hectare,Fertilizer (Kg. Nutrients) per Hectare,Manure (Qtl.) per Hectare,Human Labour* (Man Hrs.) per Hectare,Animal Labour (Pair Hrs.) per Hectare,Seed (Kg.) Rate (Rs.) ,Fertilizer (Kg. Nutrients) Rate(Rs.) ,Manure (Qtl.) Rate (Rs.) ,Human Labour (Man Hrs.) Rate (Rs.) ,Animal Labour (Pair Hrs.) Rate (Rs.) ,Implicit (Qtl.) Rate (Rs.) ,Number of Holdings in Sample,Number of Tehsils in Sample,Derived Yield (Qtl./Hectare),Operational Cost,Human Labour,Animal Labour,Machine Labour,Seed,Fertilizer & Manure,Insecticides,Irrigation Charges,Crop Insurance,Miscellaneous,Interest on Working Capital,Fixed Costs,Rental Value of Owned Land,Rent Paid For Leased-in-Land,"Land Revenue, Taxes, Cesses",Depreciation on Implements & Farm Building,Interest on Fixed Capital,Total Cost [11+12]
Jowar,Rajasthan,12258.03,12258.03,13618.28,18388.3,27937.03,32707.06,32707.06,850.12,850.12,939.98,1239.03,1836.84,2135.89,2135.89,2349.479,11481.3,17133.12,34.332,50.316,0,424.38,2.75,28.211,25.94,0,43.24,130.98,1791.59,39,9,6.2,26260.24,18351.93,360.22,4580.65,968.57,1305.21,0,302.58,0,29.23,361.85,6446.82,4770.03,0,8.95,307.59,1360.25,32707.06
Jowar,Tamil Nadu,25054.06,25055.66,29017.86,37247.33,42858.63,51088.1,51130.09,1915.77,1915.96,2119.86,2609.23,3206.48,3695.85,3700.32,4070.35,21422.92,14947.75,46.67,85.47,14.73,491.04,0,68.32,26.71,161.2,47.87,0,2410.99,36,10,8.18,38094.73,23507.5,0,5499.11,3188.69,4657.95,45.2,417.68,0,43.64,734.96,12993.37,8227.86,1.6,7.84,792.27,3963.8,51088.1
Maize,Andhra Pradesh,40642.69,41899.72,43680.17,69850.72,51113.59,77284.13,77683.7472,628.44,643.62,669.89,1061.59,782.29,1173.99,1180.133091,1298.1464,81855.01,2104.73,22.099,272.799,0.517,368.74,16.31,242.561,24.589,106.445,50.2,129.43,1264.95,87,25,63.88,47492.13366,18509.37,2111.27,7478.15,5360.34,6762.81,1690.05,691.77,0,141.82,1213.89,29792,24913.51,1257.04,0,583.96,3037.49,77284.13366
Maize,Bihar,26688.93,26688.93,28409.94,43101.07,33772.16,48463.29,49305.0168,574.19,574.19,615.86,925.42,721.31,1030.87,1048.656378,1153.522015,50560.54,8502.42,18.728,128.813,2.923,488.67,0,98.816,28.248,99.991,31.32,0,1264.42,88,15,40.43,31424.72,15303.93,0,4886.27,1850.61,3930.93,4.98,4655.64,0,2.59,789.77,17038.57,14691.13,0,113.72,512.71,1721.01,48463.29
Maize,Chhattisgarh,23296.93,23296.93,23930.4,33508.6,39580.19,49158.38,49443.3925,737.56,737.56,757.62,1060.86,1253.08,1556.32,1565.24991,1721.774901,32018.04,6658.51,20,24.057,0,870.25,74.35,150,14.028,0,28.92,127.73,1215.45,6,2,26.15,38702.73,25169.8,9496.9,0,2999.99,337.47,0,0,0,0,698.57,10455.65,9578.2,0,1.25,242.73,633.47,49158.38
Maize,Gujarat,28608.32,28666.87,30116.43,35448.64,37298.72,42630.93,42630.93,1221.1,1223.55,1285.54,1513.4,1593.48,1821.34,1821.34,2003.47,22113.6,9521.98,28.08,172.88,27.59,629.58,27.01,83.38,23.78,65.48,26.41,86.08,1263.17,52,10,16.36,35613.5,16626.46,2325.29,6242.67,2341.15,5917.4,319.54,979.45,0,0,861.54,7017.43,5273.66,58.56,5.9,171.2,1508.11,42630.93
Maize,Himachal Pradesh,13795.72,13834.31,16650.44,24609.85,31196.17,39155.59,39155.59,513.71,515.03,618.45,913.36,1152.51,1447.43,1447.43,1592.17,26849.3,11384.12,26.3,63.83,43.7,288.37,22.15,69.93,17.52,96.6,52.02,49.61,1389.03,268.28,28,18.96,27770.69,15001.41,1098.93,3756.9,1838.96,5345.89,315.94,0.01,2.45,9.46,400.74,11384.9,7920.84,38.58,6.11,564.66,2854.71,39155.59
Maize,Jharkhand,33114.8,33114.8,33800.28,57374.24,42303.05,65877.02,65877.02,631.31,631.31,644.38,1093.8,806.48,1255.90,1255.90,1381.49,53385.37,18823.17,24.39,163.571,20,499.9,12.2,246.002,28.241,150,32.4,130.45,1259.23,2,1,38.78,41021.36,16194.85,1591.46,3230.24,6000,7619.4,0,5400,0,0,985.41,24855.66,23573.96,0,80,516.22,685.48,65877.02
Maize,Karnataka,30144,30144,32297.4,41479.89,38667.67,47850.16,51868.83,948.2,948.2,1014.32,1278.57,1174.95,1439.21,1559.89,1715.88,37629.63,3521.21,22.87,153.31,1.28,461.65,37.23,126.01,26.05,109.79,29.3,174.32,1191.63,120,23,30.45,36203.62,13524.03,6490.31,6766.29,2881.67,4134.38,74.34,1006.1,0,131,904.03,11646.54,9182.48,0,6.67,303.99,2153.4,47850.16
Maize,Madhya Pradesh,26788.19,26788.19,28900.86,37645.36,35001.97,43746.47,43838.736,702.4,702.4,756.58,982.73,915.41,1141.56,1143.893916,1258.283308,33814.99,7997.59,18.856,98.751,10.493,410.88,26.47,182.055,21.297,159.102,31.98,161.26,1097.59,32,10,30.88,32238.36829,13138.07,4268.07,5238.15,3432.74,3772.62,1490.66,0,98.44829,7.59,792.02,11508.1,8744.5,0,2.68,648.25,2112.67,43746.46829
