crop,state,district,year,season,area,production,yield
Bajra,Gujarat,BHAVNAGAR, 2012-13,Summer     ,600.0,1700,2.83
Bajra,Gujarat,BHAVNAGAR, 2011-12,Summer     ,7000.0,17700,2.53
Bajra,Gujarat,BHAVNAGAR, 2010-11,Summer     ,5000.0,12300,2.46
Bajra,Gujarat,BHAVNAGAR, 2009-10,Summer     ,2100.0,4800,2.29
Bajra,Gujarat,BOTAD, 2015-16,Summer     ,20.0,53,2.65
Bajra,Gujarat,GANDHINAGAR, 1998-99,Summer     ,5900.0,17200,2.92
Bajra,Gujarat,GANDHINAGAR, 1999-00,Summer     ,4700.0,14700,3.13
Bajra,Gujarat,GANDHINAGAR, 2000-01,Summer     ,4000.0,8600,2.15
Bajra,Gujarat,GIR SOMNATH, 2017-18,Summer     ,3113.0,9631,3.09
Bajra,Gujarat,GIR SOMNATH, 2016-17,Summer     ,2071.0,2345,1.13
Bajra,Gujarat,GIR SOMNATH, 2015-16,Summer     ,480.0,1363,2.84
Bajra,Gujarat,GANDHINAGAR, 2018-19,Summer     ,5283.0,18529,3.51
Bajra,Gujarat,GANDHINAGAR, 2017-18,Summer     ,6753.0,23331,3.45
Bajra,Gujarat,GANDHINAGAR, 2016-17,Summer     ,5988.0,18660,3.12
Bajra,Gujarat,GANDHINAGAR, 2015-16,Summer     ,8638.0,26949,3.12
Bajra,Gujarat,GANDHINAGAR, 2014-15,Summer     ,11489.0,32836,2.86
Bajra,Gujarat,GANDHINAGAR, 2013-14,Summer     ,9446.0,30774,3.26
Bajra,Gujarat,GANDHINAGAR, 2012-13,Summer     ,9600.0,29500,3.07
Bajra,Gujarat,GANDHINAGAR, 2011-12,Summer     ,15700.0,42700,2.72
Bajra,Gujarat,GANDHINAGAR, 2010-11,Summer     ,6300.0,17600,2.79
